CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9170197,2,1,4,M,38,4,0,P,A,0,"SAN DIEGO","SAN DIEGO",2020
9170201,2,1,3,M,24,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9183883,1,1,4,M,56,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9203925,1,1,4,M,58,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9203990,1,1,2,F,50,0,3,M,H,0,"SAN DIEGO","SAN DIEGO",2020
9203990,2,1,4,M,23,3,1,P,X,1,"SAN DIEGO","SAN DIEGO",2020
9207991,2,1,4,F,30,3,1,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9211198,1,1,4,M,23,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9213870,2,1,4,F,26,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9224124,1,1,4,M,45,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9238672,1,1,4,F,36,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9238672,1,2,2,F,3,0,-,Y,-,0,"SAN DIEGO","SAN DIEGO",2021
9238672,2,1,2,F,6,0,-,-,-,0,"SAN DIEGO","SAN DIEGO",2021
9243009,1,1,4,M,66,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9255901,1,1,4,M,43,2,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9256030,1,1,4,F,63,3,1,N,W,0,"SAN DIEGO","SAN DIEGO",2021
9256729,1,1,4,M,47,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9267557,1,1,4,M,26,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9280617,1,1,4,M,41,4,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9287039,2,1,4,M,75,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9298671,1,1,4,F,58,3,1,P,A,3,"SAN DIEGO","SAN DIEGO",2021
9302969,1,1,4,M,60,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9320323,1,1,1,M,26,4,1,M,B,0,"SAN DIEGO","SAN DIEGO",2021
9320323,2,1,4,M,43,1,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9323622,1,1,4,F,32,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9337316,1,1,4,F,30,3,-,-,W,-,"SAN DIEGO","SAN DIEGO",2021
9344761,2,1,2,M,53,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9351126,1,1,4,M,34,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2021
9351401,1,1,2,M,23,0,6,M,H,0,"SAN DIEGO","SAN DIEGO",2021
9351401,2,1,4,M,46,3,1,-,-,1,"SAN DIEGO","SAN DIEGO",2021
9360702,2,1,4,F,46,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9360702,3,1,4,M,54,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9367504,1,1,4,M,41,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9370079,1,1,4,M,66,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9375179,2,1,4,M,37,4,1,P,B,1,"SAN DIEGO","SAN DIEGO",2021
9380106,1,1,4,M,54,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2022
9382045,2,1,4,M,49,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2022
9388279,1,1,2,F,25,0,2,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9388279,2,1,4,M,54,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9392185,1,1,4,F,48,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2022
9403788,2,1,4,M,60,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2022
9406208,2,1,4,M,57,3,1,P,-,-,"SAN DIEGO","SAN DIEGO",2022
9406209,2,1,4,M,33,4,1,N,V,1,"SAN DIEGO","SAN DIEGO",2022
9406882,1,1,4,M,63,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2022
9410873,2,1,4,M,30,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9417718,2,1,4,M,32,4,1,P,-,1,"SAN DIEGO","SAN DIEGO",2022
9419038,2,1,4,M,14,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2022
9438038,2,1,4,F,71,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2022
9452573,1,1,4,M,51,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2022
9463943,2,1,4,M,55,4,1,P,A,0,"SAN DIEGO","SAN DIEGO",2022
9472487,2,1,4,F,55,3,9,N,X,2,"SAN DIEGO","SAN DIEGO",2022
9475818,2,1,4,M,13,4,1,P,W,3,"SAN DIEGO","SAN DIEGO",2022
9479030,1,1,2,F,26,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2022
9479030,2,1,4,M,33,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2022
9480915,1,1,4,F,56,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2022
9480921,2,1,4,M,32,3,0,-,V,0,"SAN DIEGO","SAN DIEGO",2022
9482463,1,1,4,M,73,3,1,-,W,0,"SAN DIEGO","SAN DIEGO",2022
9486234,1,1,4,M,54,3,-,P,V,0,"SAN DIEGO","SAN DIEGO",2022
9486234,2,1,4,F,51,3,-,P,V,0,"SAN DIEGO","SAN DIEGO",2022
9490315,1,1,4,M,62,3,1,P,V,-,"SAN DIEGO","SAN DIEGO",2022
9491541,1,1,4,M,79,2,1,-,W,2,"SAN DIEGO","SAN DIEGO",2022
9492026,1,1,4,M,40,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2022
9493518,1,1,2,F,85,0,2,M,E,0,"SAN DIEGO","SAN DIEGO",2022
9493518,2,1,4,M,52,4,1,-,-,-,"SAN DIEGO","SAN DIEGO",2022
9493962,2,1,4,M,27,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2022
9496746,2,1,4,M,38,3,1,P,-,-,"SAN DIEGO","SAN DIEGO",2022
9497214,1,1,4,M,58,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2022
9499854,1,1,4,M,17,4,0,N,X,1,"SAN DIEGO","SAN DIEGO",2022
9530622,1,1,4,M,34,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2022
9530624,1,1,4,M,73,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2022
